Opportunity ID,Account ID 18 Digits,Opportunity Owner,Amount (converted),Stage,Created Date,Close Date,Age,Lead Source,Employees,Industry,Market Segment,Reporting Manager,Territory,Month&Year,Created Month & Year
00606000012whKp,00106000022nUo3AAE,AE 4,,Closed Lost,9/15/2022,9/30/2022,15,Inbound,,food & beverages,,Director of Sales 2,EMEA,Sep 2022,Sep 2022
00606000012yQ2R,00106000020vwGFAAY,AE 8,4750,Closed Won,6/11/2022,9/30/2022,111,Inbound,142,Other Consumer Goods - Electronics,Corporate,Director of Sales 3,AMER,Sep 2022,Jun 2022
00606000012y7aZ,00106000020uqwUAAQ,AE 5,4103.05,Closed Lost,6/1/2022,9/30/2022,121,Inbound,,consumer electronics,,Director of Sales 2,EMEA,Sep 2022,Jun 2022
00606000012wW2n,00106000020rc2bAAA,AE 4,5864.5,Closed Lost,8/19/2022,10/4/2022,46,Inbound,,music,,Director of Sales 2,EMEA,Oct 2022,Aug 2022
00606000012yzIl,0011o00001p86APAAY,AE 4,10000,Closed Lost,8/3/2022,10/4/2022,62,Inbound,305,Financial Services,Corporate,Director of Sales 2,EMEA,Oct 2022,Aug 2022
00606000012wTgQ,00106000020qzVPAAY,AE 4,9000,Closed Lost,8/12/2022,10/5/2022,54,Inbound,,internet,,Director of Sales 2,EMEA,Oct 2022,Aug 2022
00606000012wdZB,00106000022mnOWAAY,AE 1,1666.66,Closed Lost,9/7/2022,10/7/2022,30,Inbound,,logistics & supply chain,,Director of Sales 1,APAC,Oct 2022,Sep 2022
00606000012ypwR,00106000021fa1FAAQ,Director of Sales 1,5000,Closed Lost,7/12/2022,10/10/2022,90,Partner Referral,,food production,,Director of Sales 1,APAC,Oct 2022,Jul 2022
00606000012wVC3,00106000020rPClAAM,Director of Sales 1,10000,Closed Lost,8/17/2022,10/10/2022,54,Inbound,,Financial Services,,Director of Sales 1,APAC,Oct 2022,Aug 2022
00606000012xB0d,0010600001xEITvAAO,Director of Sales 1,2500,Closed Lost,3/15/2022,10/10/2022,208,Inbound,,Travel - Hospitality,,Director of Sales 1,APAC,Oct 2022,Mar 2022
